Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,36.490002,36.73,35.540001,35.689999,34.58617,45382400
2016-12-26,35.799999,35.93,34.669998,34.84,33.762463,26522000
2017-01-02,34.98,37.240002,34.84,35.990002,34.876896,63170200
2017-01-09,36.119999,38.16,35.860001,37.34,36.185139,95138700
2017-01-16,37.34,37.84,36.759998,37.009998,35.865345,41704000
2017-01-23,37.009998,38.380001,36.380001,37.009998,35.865345,65012000
2017-01-30,36.84,37.110001,35.470001,36.330002,35.206379,62066700
2017-02-06,36.41,36.830002,34.720001,35.169998,34.082253,95442000
2017-02-13,35.380001,37.900002,35.18,37.220001,36.068851,82182400
2017-02-20,37.599998,38.099998,36.57,36.900002,35.758751,49891200
2017-02-27,36.919998,38.369999,36.549999,38.23,37.047615,65682800
2017-03-06,37.98,38.549999,36.77,36.830002,35.690914,80179400
2017-03-13,37,37.16,36.299999,36.330002,35.566593,76337400
2017-03-20,36.360001,36.450001,33.790001,34.560001,33.833786,119136800
2017-03-27,34.279999,36.25,33.970001,35.360001,34.616978,77188400
2017-04-03,35.360001,35.400002,33.700001,33.709999,33.001648,78779400
2017-04-10,33.84,34.290001,33.369999,33.389999,32.68837,48481300
2017-04-17,33.470001,34.52,33.369999,33.75,33.040806,51495000
2017-04-24,34.060001,35.290001,33.630001,34.639999,33.912106,70696700
2017-05-01,34.630001,34.650002,32.82,33.77,33.060387,72718600
2017-05-08,33.849998,34.470001,33.27,33.619999,32.913536,49385300
2017-05-15,33.970001,34.150002,32.09,32.720001,32.032452,73868200
2017-05-22,32.970001,33.470001,31.92,33.07,32.375095,95701700
2017-05-29,33.09,34.869999,33.040001,34.450001,33.726101,64751700
2017-06-05,34.470001,34.740002,33.84,34.34,33.618408,62029000
2017-06-12,34.220001,34.82,33.919998,34.290001,33.944096,63417700
2017-06-19,34.369999,34.57,33.860001,34.200001,33.855003,47821900
2017-06-26,34.27,35.049999,34.02,34.93,34.577641,52431000
2017-07-03,34.52,36,34.450001,34.939999,34.587536,38925700
2017-07-10,35,36.439999,34.869999,36.349998,35.983315,52269700
2017-07-17,36.380001,36.630001,35.709999,36.07,35.706139,45208600
2017-07-24,35.990002,36.169998,35.380001,35.77,35.409168,54592500
2017-07-31,35.82,36.299999,34.59,35.27,34.914211,64292300
2017-08-07,35.16,35.830002,34.860001,34.93,34.577641,41989400
2017-08-14,35.16,35.860001,34.610001,34.830002,34.478649,34745400
2017-08-21,34.900002,35.880001,34.779999,35.599998,35.240879,31896600
2017-08-28,35.68,37.75,35.209999,37.360001,36.983128,52365800
2017-09-04,37.290001,37.740002,36.619999,37,36.626759,47582300
2017-09-11,37.110001,39.18,37.040001,38.880001,38.880001,77831600
2017-09-18,38.900002,39.540001,38.540001,39.419998,39.419998,67812500
2017-09-25,40.189999,40.689999,40,40.380001,40.380001,64117300
2017-10-02,41.009998,45.169998,40.799999,44.93,44.93,116020400
2017-10-09,45.029999,46.110001,44.150002,45.880001,45.880001,67912700
2017-10-16,45.77,45.860001,45.349998,45.759998,45.759998,8830600
